run_sha,run_date,module,time_s,peak_kb,ir_lines,status,seed_version
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,assert_failure,0.35,107944,1104,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,ast,0.25,78980,365,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,backend,0.24,87244,659,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,bare_assert_check,0.44,140748,2714,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__cache,5.07,520868,2619,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__clang_argv,0.20,70936,319,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__determinism,3.25,445800,2663,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__link,2.59,407888,2198,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__paths,0.24,88376,860,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build__runtime_objs,3.87,615376,5304,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build_cache,0.75,243652,3464,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build_report,0.69,227272,3009,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,build_stamp,0.36,96356,581,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,capsule_artifact,0.49,185828,2892,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,capsule_emit_parallel,3.25,461636,3500,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,capsule_import_scan,0.72,223032,6745,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,capsule_resolver,6.79,1230488,17147,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__add,1.06,239732,2330,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__build,5.68,653264,4782,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__check,2.62,371040,1697,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__cmd_shared,0.58,136564,1174,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__config,0.76,182772,1583,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__emit,5.07,523068,2805,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__fmt,1.48,187180,1120,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__guillermo,0.57,145656,748,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__init,0.81,153264,798,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__lock,4.11,434608,2040,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__login,0.66,146748,1024,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__package,1.96,507056,7654,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__publish,1.04,231736,2503,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__run,5.34,546024,2691,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__test,9.77,1381420,18556,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__commands__version,0.54,116248,447,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__context,0.35,89368,523,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli__main,4.77,601324,4036,ok,sfn 0.8.0-alpha.1+dev.9f672dc
9f672dc22a95e4429e59e4aabbfe0bc7d4c98438,2026-07-03T09:08:50Z,cli_check,5.59,574308,4100,ok,sfn 0.8.0-alpha.1+dev.9f672dc
